modelname,fips,weekahead,prob,score,trainingweek
theScienceDogs,42043.0,3,0.014339999999999999,-4.244702443810663,202020
theScienceDogs,42043.0,4,0.0048800976019520385,-5.322590058917078,202020
theScienceDogs,42041.0,1,0.02069531453275427,-3.8778479554067573,202020
theScienceDogs,42041.0,2,0.07462355173388237,-2.5952991147088516,202020
theScienceDogs,42041.0,3,0.06212691144001962,-2.7785760273924676,202020
theScienceDogs,42041.0,4,0.0553215214967166,-2.8945932690078195,202020
theScienceDogs,42039.0,1,0.9324199118398518,-0.06997201657896321,202020
theScienceDogs,42039.0,2,0.9193512366702026,-0.08408703522606664,202020
theScienceDogs,42039.0,3,0.0810712993123416,-2.5124262730683773,202020
theScienceDogs,42039.0,4,0.9177041452932206,-0.08588022212125543,202020
theScienceDogs,42037.0,1,0.06257423266862536,-2.7714017043263754,202020
theScienceDogs,42037.0,2,0.05380003952655964,-2.922481077120251,202020
theScienceDogs,42037.0,3,0.0460566537599348,-3.0778830368176173,202020
theScienceDogs,42037.0,4,0.07411859900589529,-2.6020887794449763,202020
theScienceDogs,42065.0,1,,,202020
theScienceDogs,42065.0,2,,,202020
theScienceDogs,42065.0,3,,,202020
theScienceDogs,42065.0,4,,,202020
theScienceDogs,42035.0,1,0.36830905898151023,-0.9988328590877253,202020
theScienceDogs,42035.0,2,0.4543376486361738,-0.7889146379001256,202020
theScienceDogs,42035.0,3,0.4254553786229808,-0.8545952045688547,202020
theScienceDogs,42035.0,4,0.4808640525945057,-0.7321706837638152,202020
theScienceDogs,42031.0,1,0.9310631484959512,-0.07142817533083945,202020
theScienceDogs,42031.0,2,0.8896719742451926,-0.1169024524577563,202020
theScienceDogs,42031.0,4,0.8721659295750994,-0.13677558696530553,202020
theScienceDogs,42029.0,1,0.044841793671746864,-3.1046146799781567,202020
theScienceDogs,42029.0,2,0.015414025555890935,-4.1724774336615145,202020
theScienceDogs,42029.0,3,0.02185792349726779,-3.823191791721529,202020
theScienceDogs,42029.0,4,0.022476842706001136,-3.795269712841836,202020
theScienceDogs,42027.0,1,0.21082776765836875,-1.5567137458553468,202020
theScienceDogs,42027.0,2,0.21418493482426768,-1.5409154557282518,202020
theScienceDogs,42027.0,3,0.17913767910496592,-1.7196006117800622,202020
theScienceDogs,42027.0,4,0.1340685890695958,-2.0094037512578926,202020
theScienceDogs,42025.0,1,0.19325222232198977,-1.6437590918550362,202020
theScienceDogs,42025.0,2,0.162672854707331,-1.8160141212870566,202020
theScienceDogs,42025.0,3,0.14168392659313134,-1.9541565713720386,202020
theScienceDogs,42025.0,4,0.14708315087821727,-1.916757199891551,202020
theScienceDogs,42023.0,1,,,202020
theScienceDogs,42023.0,2,,,202020
theScienceDogs,42023.0,3,,,202020
theScienceDogs,42023.0,4,,,202020
theScienceDogs,42021.0,1,0.5144199999999999,-0.6647152265657114,202020
theScienceDogs,42021.0,2,0.02604104164166567,-3.6480814608417473,202020
theScienceDogs,42021.0,3,0.04746563144097813,-3.047749378440158,202020
theScienceDogs,42021.0,4,0.06277541863632721,-2.768191705122378,202020
theScienceDogs,42019.0,1,0.15887472171625178,-1.8396393010633416,202020
theScienceDogs,42019.0,2,0.16071175386360417,-1.8281428672605953,202020
theScienceDogs,42019.0,3,0.15222200846479414,-1.8824152417430497,202020
theScienceDogs,42019.0,4,0.14884645211322212,-1.9048400271203587,202020
theScienceDogs,42017.0,2,0.034505640345056376,-3.366632480045069,202020
theScienceDogs,42017.0,3,0.0005509641873278235,-7.503840746698952,202020
theScienceDogs,42017.0,4,0.0005271481286241433,-7.5480289699350145,202020
theScienceDogs,42015.0,1,0.8917322834645669,-0.1145893220954479,202020
theScienceDogs,42015.0,2,0.8256295824035703,-0.19160905349709467,202020
theScienceDogs,42015.0,3,0.7916108108108107,-0.23368540843590138,202020
