modelname,fips,weekahead,prob,score,trainingweek
theScienceDogs,42077,4,0.008202965,-4.803259631,202020
theScienceDogs,42079,1,0.014768657,-4.215248109,202020
theScienceDogs,42079,2,0.011901922,-4.431055396,202020
theScienceDogs,42079,3,0.012500685,-4.381971809,202020
theScienceDogs,42079,4,0.01157542,-4.458871375,202020
theScienceDogs,42081,1,0,#NAME?,202020
theScienceDogs,42081,2,0,#NAME?,202020
theScienceDogs,42081,3,0,#NAME?,202020
theScienceDogs,42081,4,0,#NAME?,202020
theScienceDogs,42003,1,0.024211905,-3.720910844,202020
theScienceDogs,42003,2,0.024793047,-3.697192019,202020
theScienceDogs,42003,3,0.023168217,-3.764973904,202020
theScienceDogs,42003,4,0.017796628,-4.028746265,202020
theScienceDogs,42083,1,,,202020
theScienceDogs,42083,2,,,202020
theScienceDogs,42083,3,,,202020
theScienceDogs,42083,4,,,202020
theScienceDogs,42087,1,0.0116,-4.456750181,202020
theScienceDogs,42087,2,2.00E-05,-10.81977828,202020
theScienceDogs,42087,3,2.00E-05,-10.81977828,202020
theScienceDogs,42087,4,6.00E-05,-9.721165996,202020
theScienceDogs,42089,1,0.032336985,-3.431543644,202020
theScienceDogs,42089,2,0.025603098,-3.665041912,202020
theScienceDogs,42089,3,0.022445221,-3.796677543,202020
theScienceDogs,42089,4,0.020200163,-3.902064612,202020
theScienceDogs,42093,1,0.527511924,-0.639583808,202020
theScienceDogs,42093,2,0.473736751,-0.747103489,202020
theScienceDogs,42093,3,0.460300026,-0.775876772,202020
theScienceDogs,42093,4,0.451062377,-0.79614964,202020
theScienceDogs,42095,1,0.019130221,-3.956485952,202020
theScienceDogs,42095,2,0.015343039,-4.177093395,202020
theScienceDogs,42095,3,0.013082584,-4.336473413,202020
theScienceDogs,42095,4,0.009909089,-4.614302884,202020
theScienceDogs,42097,1,0.249678973,-1.387579295,202020
theScienceDogs,42097,2,0.130813358,-2.03398372,202020
theScienceDogs,42097,3,0.119362282,-2.125592021,202020
theScienceDogs,42097,4,0.191561632,-1.652545683,202020
theScienceDogs,42085,1,0.056786271,-2.868460682,202020
theScienceDogs,42085,2,0.229634915,-1.471264557,202020
theScienceDogs,42085,3,0.305896686,-1.184507861,202020
theScienceDogs,42085,4,0.305688726,-1.185187929,202020
theScienceDogs,42133,1,0.031381883,-3.46152453,202020
theScienceDogs,42133,2,0.033726339,-3.389476161,202020
theScienceDogs,42133,3,0.045531537,-3.089350065,202020
theScienceDogs,42133,4,0.021125903,-3.857255357,202020
