geo_value,time_value,value,stderr,sample_size
42019,20200409,1.0290246,0.6669255,146.2588
42021,20200407,0.0,0.4243852,105.4703
42021,20200414,1.8200619,1.1506058,126.9448
42021,20200428,0.3762785,0.5753604,101.7005
42021,20200516,0.0,0.4393217,102.4986
42027,20200414,0.0,0.2970033,147.4304
42027,20200520,0.0,0.4049621,108.6764
42029,20200406,0.0,0.4212219,103.237
42029,20200407,0.4826204,0.3888049,303.4857
42029,20200408,0.2425943,0.2316072,322.2449
42029,20200409,0.0,0.1831114,249.1449
42029,20200410,0.7010351,0.7736152,128.6667
42029,20200413,1.109516,0.8301459,129.457
42029,20200414,0.2666317,0.4014204,150.2414
42029,20200415,0.6979753,0.6450691,111.1033
42029,20200424,0.0,0.3636637,118.5849
42029,20200425,0.3963328,0.4489045,125.2098
42029,20200426,0.0,0.3436664,131.3575
42029,20200427,0.0,0.3510131,127.1763
42029,20200428,0.3901784,0.3851008,183.7385
42029,20200429,0.2268566,0.4176463,119.2414
42029,20200430,0.1928252,0.3395008,158.6622
42029,20200501,0.24975,0.434167,126.1292
42029,20200502,0.0,0.3459025,128.1014
42029,20200503,0.7118932,0.7804944,133.9716
42029,20200504,0.0,0.3399214,131.214
42029,20200505,0.3274418,0.473062,121.0673
42029,20200506,0.0,0.3463394,132.6993
42029,20200507,0.0,0.4105564,108.43
42029,20200509,0.0,0.42059,103.8871
42029,20200510,0.5388729,0.655683,119.5668
42029,20200511,0.0,0.3671907,119.8881
42029,20200514,0.8662863,0.9418081,111.5841
42029,20200515,0.3203297,0.3809073,146.6873
42029,20200516,0.9216844,0.7755188,139.2037
42029,20200517,0.0,0.283875,157.4316
42029,20200518,0.7215876,0.7753947,144.1601
42029,20200520,0.743222,0.5555104,178.9595
42029,20200521,0.4857055,0.4678598,143.3012
42029,20200522,0.5774516,0.6447638,148.8637
42029,20200523,0.0,0.3281968,130.9657
42029,20200524,0.0,0.3078851,147.5143
42029,20200525,0.0,0.2756008,164.1607
42029,20200526,0.2788147,0.3979254,156.7296
42029,20200527,0.0,0.3199948,144.7737
42029,20200528,0.6488115,0.7086554,152.4586
42029,20200529,1.3579394,0.9348059,128.431
42029,20200530,0.5354176,0.6433459,122.8811
42029,20200531,0.0,0.3693895,117.0114
42029,20200601,0.274413,0.3979106,150.0188
42029,20200602,0.2520491,0.3859238,134.0952
42029,20200603,0.0,0.3247621,139.867
42029,20200604,0.0,0.371346,121.0015
42029,20200605,0.1507594,0.4081567,118.6237
42029,20200607,0.0,0.324722,136.2364
42029,20200608,0.0,0.3893193,121.1797
42029,20200609,0.8222518,0.9056903,111.7466
42029,20200610,0.0,0.3596882,127.7332
42029,20200611,0.7463088,0.818626,121.0795
42029,20200612,0.4546775,0.5496389,142.1938
42029,20200613,0.6258136,0.574363,117.0826
42029,20200614,0.6489977,0.7106813,149.5334
42041,20200407,1.0433596,0.773375,168.5114
42041,20200408,0.2297363,0.3230474,184.2165
42041,20200409,2.5936301,1.3011161,148.7715
42041,20200414,2.6756608,1.2395804,124.6251
42041,20200415,0.7933763,0.6733074,104.0732
42041,20200421,0.0,0.4137872,105.44
42041,20200424,0.528932,0.5675647,103.6269
42041,20200425,0.0,0.3500261,119.7599
42041,20200426,0.1318168,0.3121505,151.975
42041,20200427,0.6136951,0.5246874,138.3729
42041,20200428,0.2492764,0.3833072,146.199
42041,20200429,0.0,0.3588025,114.8187
42041,20200430,0.1874537,0.301611,204.4531
42041,20200501,0.1214407,0.3522156,125.1476
42041,20200502,1.7531899,1.1010685,133.4019
42041,20200503,0.0,0.3271816,132.4892
42041,20200504,0.7416908,0.5966794,141.4209
42041,20200505,0.0,0.2904298,143.395
42041,20200506,0.6373747,0.7105785,126.9615
42041,20200507,0.0,0.370739,113.0299
42041,20200509,0.9785011,0.8854721,102.2928
42041,20200510,0.0,0.3444742,118.852
42041,20200511,0.0,0.3515656,112.715
42041,20200514,0.3210372,0.4315307,155.4942
42041,20200515,0.234078,0.4053303,125.1743
42041,20200516,0.1600376,0.3555671,131.6214
42041,20200517,0.0,0.2770931,152.2273
42041,20200518,0.0,0.3187712,137.7363
42041,20200520,0.0,0.2593941,171.3284
42041,20200521,0.206518,0.3767698,134.5352
42041,20200522,0.0,0.3247235,131.8967
42041,20200523,0.0,0.2940706,141.5538
42041,20200524,0.5557043,0.5627022,123.8658
42041,20200525,0.5398402,0.6306933,126.4974
42041,20200526,0.0,0.356086,118.8576
42041,20200527,0.0,0.3291822,130.033
42041,20200528,0.3138334,0.4445428,133.9599
42041,20200529,1.0982602,0.8627213,118.0748
42041,20200530,0.0,0.3799142,112.304
42041,20200531,0.0,0.400338,100.6877
42041,20200601,0.1057557,0.2983598,149.4753
42041,20200602,0.4358924,0.5417713,131.2159
42041,20200603,0.5941473,0.5361732,124.4382
42041,20200604,0.0,0.3229207,126.3475
42041,20200605,0.0,0.3187098,138.8335
42041,20200607,0.0,0.3353653,130.1533
42041,20200608,1.0270874,0.9318573,100.3803
42041,20200609,0.0,0.395295,110.1659
42041,20200610,0.1515872,0.3966457,118.2294
42041,20200611,0.0,0.3557981,120.8581
42041,20200612,0.0,0.3277901,134.4437
42041,20200613,0.9548628,1.0312152,101.6309
42041,20200614,1.7893451,1.1127051,118.8198
42043,20200407,0.6953885,0.5037649,194.1751
42043,20200408,0.9989999,1.0177232,153.082
42043,20200409,0.1954466,0.3100338,175.85
42043,20200410,1.4358838,1.0709272,111.1257
42043,20200414,0.0,0.3028464,135.592
42043,20200416,0.1828143,0.4147051,107.6988
42043,20200423,2.6769487,1.2763701,117.4234
42043,20200424,1.249125,0.9625101,112.0451
42043,20200425,0.4490911,0.4654328,128.0988
42043,20200426,0.6085821,0.6746984,133.3905
42043,20200427,0.2361928,0.3985754,130.7271
42043,20200428,0.530095,0.5739241,194.8396
42043,20200429,0.0,0.315403,136.8394
42043,20200430,0.2686435,0.3784858,162.9947
42043,20200501,0.7216979,0.6694593,127.9646
42043,20200502,0.5987143,0.6751808,126.5188
42043,20200503,0.0,0.3015675,136.4005
42043,20200504,0.0,0.3188155,127.9923
42043,20200505,0.6816615,0.7434865,123.0263
42043,20200506,1.1998647,0.638973,140.9781
42043,20200507,0.0,0.3311197,133.0223
42043,20200510,0.0,0.3643549,117.2748
42043,20200511,0.0,0.3453819,120.3058
42043,20200512,1.6899608,0.841365,115.0407
42043,20200514,0.7164177,0.7799404,126.7866
42043,20200515,0.0,0.2739598,148.6413
