,epiweek,modelweek,region,fips,jhucsse__numnewpos,covidtracker__numnewpos,covidtracker__numnewneg,covidtracker__numnewtest,cdcili__num_patients,cdcili__num_providers,cdcili__wili,cdcili__ili,dohweb__numnewpos
34,202004,2611,pa,42069.0,0.0,,,,50861.0,122.0,4.09744,4.09744,
65,202004,2611,pa,42131.0,0.0,,,,50861.0,122.0,4.09744,4.09744,
64,202004,2611,pa,42129.0,0.0,,,,50861.0,122.0,4.09744,4.09744,
63,202004,2611,pa,42127.0,0.0,,,,50861.0,122.0,4.09744,4.09744,
62,202004,2611,pa,42125.0,0.0,,,,50861.0,122.0,4.09744,4.09744,
61,202004,2611,pa,42123.0,0.0,,,,50861.0,122.0,4.09744,4.09744,
60,202004,2611,pa,42121.0,0.0,,,,50861.0,122.0,4.09744,4.09744,
59,202004,2611,pa,42119.0,0.0,,,,50861.0,122.0,4.09744,4.09744,
58,202004,2611,pa,42117.0,0.0,,,,50861.0,122.0,4.09744,4.09744,
57,202004,2611,pa,42115.0,0.0,,,,50861.0,122.0,4.09744,4.09744,
56,202004,2611,pa,42113.0,0.0,,,,50861.0,122.0,4.09744,4.09744,
55,202004,2611,pa,42111.0,0.0,,,,50861.0,122.0,4.09744,4.09744,
54,202004,2611,pa,42109.0,0.0,,,,50861.0,122.0,4.09744,4.09744,
53,202004,2611,pa,42107.0,0.0,,,,50861.0,122.0,4.09744,4.09744,
52,202004,2611,pa,42105.0,0.0,,,,50861.0,122.0,4.09744,4.09744,
51,202004,2611,pa,42103.0,0.0,,,,50861.0,122.0,4.09744,4.09744,
50,202004,2611,pa,42101.0,0.0,,,,50861.0,122.0,4.09744,4.09744,
49,202004,2611,pa,42099.0,0.0,,,,50861.0,122.0,4.09744,4.09744,
35,202004,2611,pa,42071.0,0.0,,,,50861.0,122.0,4.09744,4.09744,
36,202004,2611,pa,42073.0,0.0,,,,50861.0,122.0,4.09744,4.09744,
