FIPS,Province_State,date,count
42003,Pennsylvania,2020-04-09,759
42003,Pennsylvania,2020-04-10,788
42003,Pennsylvania,2020-04-11,836
42003,Pennsylvania,2020-04-12,857
42003,Pennsylvania,2020-04-13,876
42003,Pennsylvania,2020-04-14,893
42003,Pennsylvania,2020-04-15,904
42003,Pennsylvania,2020-04-16,925
42003,Pennsylvania,2020-04-17,947
42003,Pennsylvania,2020-04-18,1009
42003,Pennsylvania,2020-04-19,1035
42003,Pennsylvania,2020-04-20,1042
42003,Pennsylvania,2020-04-21,1059
42003,Pennsylvania,2020-04-22,1088
42003,Pennsylvania,2020-04-23,1149
42003,Pennsylvania,2020-04-24,1177
42003,Pennsylvania,2020-04-25,1198
42003,Pennsylvania,2020-04-26,1211
42003,Pennsylvania,2020-04-27,1224
42003,Pennsylvania,2020-04-28,1235
42003,Pennsylvania,2020-04-29,1273
42003,Pennsylvania,2020-04-30,1289
42003,Pennsylvania,2020-05-01,1319
42003,Pennsylvania,2020-05-02,1333
42003,Pennsylvania,2020-05-03,1345
42003,Pennsylvania,2020-05-04,1365
42003,Pennsylvania,2020-05-05,1375
42003,Pennsylvania,2020-05-06,1394
42003,Pennsylvania,2020-05-07,1439
42003,Pennsylvania,2020-05-08,1455
42003,Pennsylvania,2020-05-09,1486
42003,Pennsylvania,2020-05-10,1503
42003,Pennsylvania,2020-05-11,1511
42003,Pennsylvania,2020-05-12,1526
42003,Pennsylvania,2020-05-13,1545
42003,Pennsylvania,2020-05-14,1551
42003,Pennsylvania,2020-05-15,1582
42003,Pennsylvania,2020-05-16,1595
42003,Pennsylvania,2020-05-17,1603
42003,Pennsylvania,2020-05-18,1641
42003,Pennsylvania,2020-05-19,1658
42003,Pennsylvania,2020-05-20,1687
42003,Pennsylvania,2020-05-21,1718
42003,Pennsylvania,2020-05-22,1739
42003,Pennsylvania,2020-05-23,1753
42003,Pennsylvania,2020-05-24,1777
42003,Pennsylvania,2020-05-25,1805
42003,Pennsylvania,2020-05-26,1816
42003,Pennsylvania,2020-05-27,1828
42003,Pennsylvania,2020-05-28,1851
42003,Pennsylvania,2020-05-29,1870
42003,Pennsylvania,2020-05-30,1897
42003,Pennsylvania,2020-05-31,1911
42003,Pennsylvania,2020-06-01,1919
42003,Pennsylvania,2020-06-02,1928
42003,Pennsylvania,2020-06-03,1952
42003,Pennsylvania,2020-06-04,1965
42003,Pennsylvania,2020-06-05,1973
42003,Pennsylvania,2020-06-06,1989
42003,Pennsylvania,2020-06-07,2003
42003,Pennsylvania,2020-06-08,2008
42003,Pennsylvania,2020-06-09,2027
42003,Pennsylvania,2020-06-10,2034
42003,Pennsylvania,2020-06-11,2055
42003,Pennsylvania,2020-06-12,2065
42003,Pennsylvania,2020-06-13,2076
42003,Pennsylvania,2020-06-14,2079
42005,Pennsylvania,2020-01-22,0
42005,Pennsylvania,2020-01-23,0
42005,Pennsylvania,2020-01-24,0
42005,Pennsylvania,2020-01-25,0
42005,Pennsylvania,2020-01-26,0
42005,Pennsylvania,2020-01-27,0
42005,Pennsylvania,2020-01-28,0
42005,Pennsylvania,2020-01-29,0
42005,Pennsylvania,2020-01-30,0
42005,Pennsylvania,2020-01-31,0
42005,Pennsylvania,2020-02-01,0
42005,Pennsylvania,2020-02-02,0
42005,Pennsylvania,2020-02-03,0
42005,Pennsylvania,2020-02-04,0
42005,Pennsylvania,2020-02-05,0
42005,Pennsylvania,2020-02-06,0
42005,Pennsylvania,2020-02-07,0
42005,Pennsylvania,2020-02-08,0
42005,Pennsylvania,2020-02-09,0
42005,Pennsylvania,2020-02-10,0
42005,Pennsylvania,2020-02-11,0
42005,Pennsylvania,2020-02-12,0
42005,Pennsylvania,2020-02-13,0
42005,Pennsylvania,2020-02-14,0
42005,Pennsylvania,2020-02-15,0
42005,Pennsylvania,2020-02-16,0
42005,Pennsylvania,2020-02-17,0
42005,Pennsylvania,2020-02-18,0
42005,Pennsylvania,2020-02-19,0
42005,Pennsylvania,2020-02-20,0
42005,Pennsylvania,2020-02-21,0
42005,Pennsylvania,2020-02-22,0
42005,Pennsylvania,2020-02-23,0
42005,Pennsylvania,2020-02-24,0
42005,Pennsylvania,2020-02-25,0
42005,Pennsylvania,2020-02-26,0
42005,Pennsylvania,2020-02-27,0
42005,Pennsylvania,2020-02-28,0
42005,Pennsylvania,2020-02-29,0
42005,Pennsylvania,2020-03-01,0
42005,Pennsylvania,2020-03-02,0
42005,Pennsylvania,2020-03-03,0
42005,Pennsylvania,2020-03-04,0
42005,Pennsylvania,2020-03-05,0
42005,Pennsylvania,2020-03-06,0
42005,Pennsylvania,2020-03-07,0
42005,Pennsylvania,2020-03-08,0
42005,Pennsylvania,2020-03-09,0
42005,Pennsylvania,2020-03-10,0
42005,Pennsylvania,2020-03-11,0
42005,Pennsylvania,2020-03-12,0
42005,Pennsylvania,2020-03-13,0
42005,Pennsylvania,2020-03-14,0
42005,Pennsylvania,2020-03-15,0
42005,Pennsylvania,2020-03-16,0
42005,Pennsylvania,2020-03-17,0
42005,Pennsylvania,2020-03-18,0
42005,Pennsylvania,2020-03-19,0
42005,Pennsylvania,2020-03-20,0
42005,Pennsylvania,2020-03-21,0
42005,Pennsylvania,2020-03-22,0
42005,Pennsylvania,2020-03-23,0
42005,Pennsylvania,2020-03-24,1
42005,Pennsylvania,2020-03-25,1
42005,Pennsylvania,2020-03-26,1
42005,Pennsylvania,2020-03-27,1
42005,Pennsylvania,2020-03-28,2
42005,Pennsylvania,2020-03-29,3
42005,Pennsylvania,2020-03-30,3
42005,Pennsylvania,2020-03-31,5
42005,Pennsylvania,2020-04-01,5
42005,Pennsylvania,2020-04-02,7
42005,Pennsylvania,2020-04-03,11
42005,Pennsylvania,2020-04-04,12
42005,Pennsylvania,2020-04-05,12
42005,Pennsylvania,2020-04-06,13
42005,Pennsylvania,2020-04-07,18
42005,Pennsylvania,2020-04-08,19
42005,Pennsylvania,2020-04-09,20
42005,Pennsylvania,2020-04-10,22
42005,Pennsylvania,2020-04-11,26
42005,Pennsylvania,2020-04-12,27
42005,Pennsylvania,2020-04-13,28
42005,Pennsylvania,2020-04-14,28
42005,Pennsylvania,2020-04-15,29
42005,Pennsylvania,2020-04-16,32
42005,Pennsylvania,2020-04-17,32
42005,Pennsylvania,2020-04-18,36
42005,Pennsylvania,2020-04-19,38
42005,Pennsylvania,2020-04-20,38
42005,Pennsylvania,2020-04-21,38
42005,Pennsylvania,2020-04-22,39
42005,Pennsylvania,2020-04-23,43
42005,Pennsylvania,2020-04-24,43
42005,Pennsylvania,2020-04-25,46
42005,Pennsylvania,2020-04-26,46
42005,Pennsylvania,2020-04-27,47
42005,Pennsylvania,2020-04-28,50
42005,Pennsylvania,2020-04-29,50
42005,Pennsylvania,2020-04-30,51
42005,Pennsylvania,2020-05-01,52
42005,Pennsylvania,2020-05-02,52
42005,Pennsylvania,2020-05-03,52
42005,Pennsylvania,2020-05-04,52
42005,Pennsylvania,2020-05-05,53
42005,Pennsylvania,2020-05-06,55
42005,Pennsylvania,2020-05-07,55
42005,Pennsylvania,2020-05-08,55
42005,Pennsylvania,2020-05-09,55
42005,Pennsylvania,2020-05-10,55
42005,Pennsylvania,2020-05-11,55
42005,Pennsylvania,2020-05-12,55
42005,Pennsylvania,2020-05-13,56
42005,Pennsylvania,2020-05-14,56
42005,Pennsylvania,2020-05-15,57
42005,Pennsylvania,2020-05-16,58
42005,Pennsylvania,2020-05-17,58
42005,Pennsylvania,2020-05-18,58
42005,Pennsylvania,2020-05-19,58
42005,Pennsylvania,2020-05-20,58
42005,Pennsylvania,2020-05-21,58
42005,Pennsylvania,2020-05-22,58
42005,Pennsylvania,2020-05-23,58
42005,Pennsylvania,2020-05-24,58
42005,Pennsylvania,2020-05-25,58
42005,Pennsylvania,2020-05-26,59
42005,Pennsylvania,2020-05-27,61
42005,Pennsylvania,2020-05-28,62
42005,Pennsylvania,2020-05-29,62
42005,Pennsylvania,2020-05-30,62
42005,Pennsylvania,2020-05-31,62
42005,Pennsylvania,2020-06-01,62
42005,Pennsylvania,2020-06-02,62
42005,Pennsylvania,2020-06-03,64
42005,Pennsylvania,2020-06-04,64
42005,Pennsylvania,2020-06-05,64
42005,Pennsylvania,2020-06-06,65
42005,Pennsylvania,2020-06-07,65
42005,Pennsylvania,2020-06-08,65
42005,Pennsylvania,2020-06-09,65
42005,Pennsylvania,2020-06-10,65
42005,Pennsylvania,2020-06-11,65
42005,Pennsylvania,2020-06-12,66
42005,Pennsylvania,2020-06-13,66
42005,Pennsylvania,2020-06-14,66
42007,Pennsylvania,2020-01-22,0
42007,Pennsylvania,2020-01-23,0
42007,Pennsylvania,2020-01-24,0
42007,Pennsylvania,2020-01-25,0
42007,Pennsylvania,2020-01-26,0
42007,Pennsylvania,2020-01-27,0
42007,Pennsylvania,2020-01-28,0
42007,Pennsylvania,2020-01-29,0
42007,Pennsylvania,2020-01-30,0
42007,Pennsylvania,2020-01-31,0
42007,Pennsylvania,2020-02-01,0
42007,Pennsylvania,2020-02-02,0
42007,Pennsylvania,2020-02-03,0
42007,Pennsylvania,2020-02-04,0
42007,Pennsylvania,2020-02-05,0
42007,Pennsylvania,2020-02-06,0
42007,Pennsylvania,2020-02-07,0
42007,Pennsylvania,2020-02-08,0
42007,Pennsylvania,2020-02-09,0
42007,Pennsylvania,2020-02-10,0
42007,Pennsylvania,2020-02-11,0
42007,Pennsylvania,2020-02-12,0
42007,Pennsylvania,2020-02-13,0
42007,Pennsylvania,2020-02-14,0
42007,Pennsylvania,2020-02-15,0
42007,Pennsylvania,2020-02-16,0
42007,Pennsylvania,2020-02-17,0
42007,Pennsylvania,2020-02-18,0
42007,Pennsylvania,2020-02-19,0
42007,Pennsylvania,2020-02-20,0
42007,Pennsylvania,2020-02-21,0
42007,Pennsylvania,2020-02-22,0
42007,Pennsylvania,2020-02-23,0
42007,Pennsylvania,2020-02-24,0
42007,Pennsylvania,2020-02-25,0
42007,Pennsylvania,2020-02-26,0
42007,Pennsylvania,2020-02-27,0
42007,Pennsylvania,2020-02-28,0
42007,Pennsylvania,2020-02-29,0
42007,Pennsylvania,2020-03-01,0
42007,Pennsylvania,2020-03-02,0
42007,Pennsylvania,2020-03-03,0
42007,Pennsylvania,2020-03-04,0
42007,Pennsylvania,2020-03-05,0
42007,Pennsylvania,2020-03-06,0
42007,Pennsylvania,2020-03-07,0
42007,Pennsylvania,2020-03-08,0
42007,Pennsylvania,2020-03-09,0
42007,Pennsylvania,2020-03-10,0
42007,Pennsylvania,2020-03-11,0
42007,Pennsylvania,2020-03-12,0
42007,Pennsylvania,2020-03-13,0
42007,Pennsylvania,2020-03-14,0
42007,Pennsylvania,2020-03-15,0
42007,Pennsylvania,2020-03-16,0
42007,Pennsylvania,2020-03-17,1
42007,Pennsylvania,2020-03-18,2
42007,Pennsylvania,2020-03-19,2
42007,Pennsylvania,2020-03-20,3
42007,Pennsylvania,2020-03-21,3
42007,Pennsylvania,2020-03-22,3
42007,Pennsylvania,2020-03-23,3
42007,Pennsylvania,2020-03-24,3
42007,Pennsylvania,2020-03-25,7
42007,Pennsylvania,2020-03-26,13
42007,Pennsylvania,2020-03-27,14
42007,Pennsylvania,2020-03-28,22
42007,Pennsylvania,2020-03-29,28
42007,Pennsylvania,2020-03-30,44
42007,Pennsylvania,2020-03-31,52
42007,Pennsylvania,2020-04-01,54
42007,Pennsylvania,2020-04-02,55
42007,Pennsylvania,2020-04-03,65
42007,Pennsylvania,2020-04-04,69
42007,Pennsylvania,2020-04-05,84
42007,Pennsylvania,2020-04-06,96
42007,Pennsylvania,2020-04-07,116
42007,Pennsylvania,2020-04-08,128
42007,Pennsylvania,2020-04-09,129
42007,Pennsylvania,2020-04-10,139
42007,Pennsylvania,2020-04-11,143
42007,Pennsylvania,2020-04-12,145
42007,Pennsylvania,2020-04-13,153
42007,Pennsylvania,2020-04-14,156
42007,Pennsylvania,2020-04-15,158
42007,Pennsylvania,2020-04-16,168
42007,Pennsylvania,2020-04-17,178
42007,Pennsylvania,2020-04-18,278
42007,Pennsylvania,2020-04-19,288
42007,Pennsylvania,2020-04-20,298
42007,Pennsylvania,2020-04-21,303
42007,Pennsylvania,2020-04-22,317
42007,Pennsylvania,2020-04-23,319
42007,Pennsylvania,2020-04-24,337
42007,Pennsylvania,2020-04-25,359
42007,Pennsylvania,2020-04-26,366
42007,Pennsylvania,2020-04-27,387
42007,Pennsylvania,2020-04-28,388
42007,Pennsylvania,2020-04-29,392
42007,Pennsylvania,2020-04-30,405
42007,Pennsylvania,2020-05-01,426
42007,Pennsylvania,2020-05-02,435
42007,Pennsylvania,2020-05-03,435
42007,Pennsylvania,2020-05-04,458
42007,Pennsylvania,2020-05-05,466
42007,Pennsylvania,2020-05-06,471
42007,Pennsylvania,2020-05-07,472
42007,Pennsylvania,2020-05-08,479
42007,Pennsylvania,2020-05-09,482
42007,Pennsylvania,2020-05-10,491
42007,Pennsylvania,2020-05-11,491
42007,Pennsylvania,2020-05-12,493
42007,Pennsylvania,2020-05-13,509
42007,Pennsylvania,2020-05-14,512
42007,Pennsylvania,2020-05-15,516
42007,Pennsylvania,2020-05-16,518
42007,Pennsylvania,2020-05-17,517
42007,Pennsylvania,2020-05-18,533
42007,Pennsylvania,2020-05-19,534
42007,Pennsylvania,2020-05-20,539
42007,Pennsylvania,2020-05-21,539
42007,Pennsylvania,2020-05-22,550
42007,Pennsylvania,2020-05-23,552
42007,Pennsylvania,2020-05-24,554
42007,Pennsylvania,2020-05-25,568
42007,Pennsylvania,2020-05-26,570
42007,Pennsylvania,2020-05-27,570
42007,Pennsylvania,2020-05-28,579
42007,Pennsylvania,2020-05-29,582
42007,Pennsylvania,2020-05-30,589
42007,Pennsylvania,2020-05-31,590
42007,Pennsylvania,2020-06-01,590
42007,Pennsylvania,2020-06-02,591
42007,Pennsylvania,2020-06-03,594
42007,Pennsylvania,2020-06-04,599
42007,Pennsylvania,2020-06-05,598
42007,Pennsylvania,2020-06-06,598
42007,Pennsylvania,2020-06-07,603
42007,Pennsylvania,2020-06-08,603
42007,Pennsylvania,2020-06-09,608
42007,Pennsylvania,2020-06-10,610
42007,Pennsylvania,2020-06-11,610
42007,Pennsylvania,2020-06-12,611
42007,Pennsylvania,2020-06-13,611
42007,Pennsylvania,2020-06-14,611
42009,Pennsylvania,2020-01-22,0
42009,Pennsylvania,2020-01-23,0
42009,Pennsylvania,2020-01-24,0
42009,Pennsylvania,2020-01-25,0
42009,Pennsylvania,2020-01-26,0
42009,Pennsylvania,2020-01-27,0
42009,Pennsylvania,2020-01-28,0
42009,Pennsylvania,2020-01-29,0
42009,Pennsylvania,2020-01-30,0
42009,Pennsylvania,2020-01-31,0
42009,Pennsylvania,2020-02-01,0
42009,Pennsylvania,2020-02-02,0
42009,Pennsylvania,2020-02-03,0
42009,Pennsylvania,2020-02-04,0
42009,Pennsylvania,2020-02-05,0
42009,Pennsylvania,2020-02-06,0
42009,Pennsylvania,2020-02-07,0
42009,Pennsylvania,2020-02-08,0
42009,Pennsylvania,2020-02-09,0
42009,Pennsylvania,2020-02-10,0
42009,Pennsylvania,2020-02-11,0
42009,Pennsylvania,2020-02-12,0
42009,Pennsylvania,2020-02-13,0
42009,Pennsylvania,2020-02-14,0
42009,Pennsylvania,2020-02-15,0
42009,Pennsylvania,2020-02-16,0
42009,Pennsylvania,2020-02-17,0
42009,Pennsylvania,2020-02-18,0
42009,Pennsylvania,2020-02-19,0
